# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -11543 5 20 78 12461455 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedunenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_FIRST_OCCURRENCE 9373 4 24 78 12592377 5 /openedx/staticfiles/xblock/resources/acid/public/test_data.1eea4ffdd504.json
DUPTYPE_WITHIN_SAME_TREE -9373 4 24 78 12588624 5 /openedx/staticfiles/xblock/resources/acid/public/test_data.json
DUPTYPE_WITHIN_SAME_TREE -9373 5 24 78 12721142 5 /openedx/staticfiles/studio/xblock/resources/acid/public/test_data.1eea4ffdd504.json
DUPTYPE_WITHIN_SAME_TREE -9373 5 24 78 12715829 5 /openedx/staticfiles/studio/xblock/resources/acid/public/test_data.json
DUPTYPE_FIRST_OCCURRENCE 5315 3 32 78 12592463 5 /openedx/staticfiles/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5315 3 32 78 12586271 5 /openedx/staticfiles/paragon/src/Tabs/Tabs.scss
DUPTYPE_WITHIN_SAME_TREE -5315 6 32 78 12461094 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5315 6 32 78 12456325 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Tabs/Tabs.scss
DUPTYPE_WITHIN_SAME_TREE -5315 6 32 78 12461220 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5315 6 32 78 12455967 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Tabs/Tabs.scss
DUPTYPE_FIRST_OCCURRENCE 7695 4 33 78 12592349 5 /openedx/staticfiles/js/bower/jquery/src/selector.cdff25b189c9.js
